Zipcode,Address,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count
11693,"Far Rockaway, NY 11693, USA",11335,39.1,50570.0,25149,21.44684605,40.6166766,-73.8272029,87
5483,"Sheldon, VT 05483, USA",1481,35.9,65039.0,24743,7.4949358539999995,46.7386596,-92.2825137,2
13312,"Brantingham, NY 13312, USA",320,56.1,41250.0,30699,14.6875,43.7127771,-75.17788530000001,0
5301,"Guilford, VT 05301, USA",16819,44.1,49552.0,28510,13.57393424,46.6782059,-115.609296,0
28371,"Parkton, NC 28371, USA",6628,33.6,43365.0,18333,21.16777308,34.9119197,-78.9966888,4
93428,"Cambria, CA 93428, USA",6393,58.4,59813.0,40682,7.961833255,35.5925142,-121.0564425,2
60421,"Elwood, IL 60421, USA",3960,40.1,70485.0,30466,8.585858586,41.40575380000001,-88.1096118,1
57658,"Wakpala, SD 57658, USA",329,33.5,15833.0,7979,55.31914894,45.6837886,-100.538779,0
45646,"Latham, OH 45646, USA",361,41.3,82604.0,28220,7.202216066,39.0791318,-83.3468784,0
71046,"Keatchie, LA 71046, USA",1491,37.9,41825.0,23280,10.99932931,32.1366223,-93.9266502,0
