Wrestler,Wins,Losses,Draws
Sami Zayn,39,69,0
AJ Styles,47,58,1
Jinder Mahal,33,72,1
Kevin Owens,34,69,0
Nia Jax,16,83,2
Baron Corbin,29,71,0
Charlotte Flair,38,61,1
Karl Anderson,32,68,0
Dean Ambrose,85,13,1
Cesaro,48,48,2
Sasha Banks,77,19,2
Sheamus,49,46,2
Aiden English,4,91,0
Alexa Bliss,35,58,2
Shinsuke Nakamura,87,8,0
Becky Lynch,52,41,1
Natalya,15,77,2
Neville,74,19,0
Bray Wyatt,33,58,1
Fandango,31,61,0
Tyler Breeze,31,61,0
Luke Gallows,33,58,0
Roman Reigns,70,16,5
Carmella,12,75,1
Luke Harper,55,33,0
Bayley,71,15,1
Dolph Ziggler,16,71,0
Jason Jordan,60,26,0
Chad Gable,56,29,0
Tye Dillinger,58,23,1
Mojo Rawley,57,24,0
Curt Hawkins,0,80,0
Seth Rollins,69,10,1
Big Cass,40,38,1
The Miz,10,67,2
Titus O'Neil,10,68,1
Randy Orton,57,21,0
Jimmy Uso,43,33,0
Apollo Crews,42,33,0
Jey Uso,42,33,0
Samoa Joe,15,57,1
Sin Cara,61,11,1
Aleister Black,66,6,0
Konnor,1,71,0
Rhyno,46,26,0
Viktor,1,71,0
Naomi,63,7,1
Heath Slater,43,27,0
Kalisto,49,21,0
Kassius Ohno,53,17,0
R-Truth,55,12,2
Alexander Wolfe,30,34,4
Goldust,51,15,2
Roderick Strong,52,14,2
Andrade Almas,13,54,0
Braun Strowman,30,30,5
Curtis Axel,25,38,2
Bo Dallas,3,59,2
Asuka,60,0,2
Enzo Amore,17,43,2
Finn Balor,56,6,0
Killian Dain,33,27,2
Big E,20,41,0
Bobby Roode,28,31,0
No Way Jose,48,10,1
Rich Swann,34,25,0
Liv Morgan,31,26,1
Montez Ford,36,21,1
Otis Dozovic,32,25,1
Rusev,15,43,0
Tamina,11,47,0
Tucker Knight,32,25,1
Kofi Kingston,19,38,0
Mandy Rose,14,43,0
Akira Tozawa,33,23,0
Ruby Riot,44,9,3
John Cena,39,16,0
Angelo Dawkins,32,20,1
Ember Moon,37,14,1
Erick Rowan,1,51,0
Oney Lorcan,22,29,1
Akam,35,14,2
Mickie James,29,21,1
Tony Nese,16,35,0
Elias Samson,14,36,0
Rezar,35,13,2
Riddick Moss,4,45,0
Eric Young,21,24,3
Dana Brooke,23,24,0
Tino Sabbatelli,5,42,0
Nikki Cross,13,31,2
Aliyah,22,22,1
Epico Colon,1,44,0
Peyton Royce,14,30,1
Hideo Itami,30,12,2
Johnny Gargano,34,9,1
Austin Aries,17,26,0
Billie Kay,13,29,1
Kona Reeves,4,38,1
Noam Dar,9,34,0
Jeff Hardy,28,13,1
Matt Hardy,28,13,1
Mustafa Ali,21,20,0
Ariya Daivari,11,29,0
Drew McIntyre,36,3,1
Steve Cutler,10,30,0
Epico,3,34,2
Alicia Fox,19,19,0
Primo,2,34,2
Cezar Bononi,4,31,1
Patrick Clark,4,32,0
TJ Perkins,12,24,0
The Brian Kendrick,14,22,0
Cedric Alexander,20,15,0
Chris Jericho,14,20,1
Drew Gulak,9,26,0
Wesley Blake,5,30,0
Sonya Deville,13,20,1
Primo Colon,1,31,0
Tommaso Ciampa,22,8,1
Adrian Jaoude,13,17,0
Emma,2,27,1
Gentleman Jack Gallagher,15,14,0
The Big Show,19,8,2
Buddy Murphy,20,8,0
Gran Metalik,18,10,0
Lars Sullivan,20,7,0
Kimberly Frankele,2,23,1
Lacey Evans,17,8,1
Lana,12,14,0
The Velveteen Dream,9,17,0
Daria Berenato,13,12,0
Uriel Ealy,1,24,0
Xavier Woods,12,13,0
Dash Wilder,12,12,0
Jack Gallagher,21,3,0
Lince Dorado,8,16,0
Macey Estrella,7,17,0
Pete Dunne,15,9,0
Scott Dawson,11,13,0
Gabriel Ealy,1,22,0
TJP,11,10,0
Zack Ryder,8,13,0
Demitrius Bronson,4,16,0
Simon Gotch,1,19,0
Tyler Bate,19,1,0
Nikki Bella,16,1,1
Trent Seven,10,7,0
Mark Andrews,9,7,0
Bianca Blair,4,10,1
Dan Matha,1,14,0
Marcel Barthel,2,13,0
Brennan Williams,1,13,0
Jeet Rama,10,4,0
Raul Mendoza,7,7,0
Sarah Logan,5,9,0
Wolfgang,6,8,0
Bianca Belair,6,7,0
Sarah Bridges,1,12,0
Babatunde Aiyegbusi,10,2,0
Fabian Aichner,3,9,0
Tian Bing,7,5,0
Dylan Miley,5,6,0
Elias,2,9,0
Joseph Conners,1,10,0
Nick Miller,6,5,0
